case_id,입력채널,평가용_제시문구,사칭대상_제도,정답doc_URL,정답scam_URL,doc_라벨,판단근거,구_출처_URL
S17,사진,정부24 시스템 장애로 민원 처리가 중단되었습니다. 아래 링크에서 재신청해 주세요.,(제도 아님),,https://www.kisa.or.kr/402/form?postSeq=2540&page=8,none,'시스템 장애'는 제도가 아니라 상황 사칭,https://www.kisa.or.kr/402/form?postSeq=2540&page=8
S18,문자,개인정보 유출 피해보상금 지급 대상자입니다. 아래 주소에서 계좌를 등록하시면 즉시 지급됩니다.,(제도 아님),,https://www.kisa.or.kr/402/form?postSeq=2563&page=6,none,'개인정보 유출 피해보상금' 창작,https://www.kisa.or.kr/402/form?postSeq=2563&page=6
S19,문자,엄마 나야. 폰이 고장나서 다른 번호로 연락해. 급하게 돈이 필요한데 이 계좌로 보내줘.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=5,none,가족 사칭 — 제도 아님,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=5
S20,문자,국민연금 수익률의 5배를 보장하는 정부 인증 상품입니다. 원금 손실 없이 매월 배당이 지급됩니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=315,none,국민연금을 언급하나 상품 자체가 창작 투자상품,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=315
S21,문자,○○군청 총무과입니다. 관공서 행사 단체주문 건으로 연락드립니다. 선결제 후 대금은 익일 지급됩니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=51,none,관공서 노쇼 사기 — 거래 사칭,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=51
S22,문자,한국인터넷진흥원 보안공지입니다. 귀하의 기기가 악성코드에 감염되었습니다. 첨부한 파일을 설치해 치료하세요.,(제도 아님),,https://www.kisa.or.kr/402/form?postSeq=1880&page=73,none,KISA 보안공지 사칭 — 제도 아님,https://www.kisa.or.kr/402/form?postSeq=1880&page=73
S23,문자,택배 주소가 불명확하여 배송이 보류되었습니다. 아래 링크에서 주소를 다시 입력해 주세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299,none,택배 사칭 — 제도 아님,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299
S24,문자,전산센터 장애로 연금 지급이 지연되고 있습니다. 계좌 재등록이 필요하니 링크를 눌러 진행하세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86,none,'연금 지급 지연'만으로는 기초연금·국민연금 중 무엇인지 특정 불가,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86
S25,문자,건강보험공단입니다. 환급금 32만원이 미수령 상태입니다. 오늘까지 신청하지 않으면 국고로 환수됩니다.,건강보험료 환급,,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=248,none,건강보험공단 환급금 사칭. 코퍼스에 안내문 없음,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=248
S26,문자,의원실 보좌관입니다. 행사용 물품을 대량 주문하려 하니 견적서를 보내 주시고 선입금 계좌를 알려주세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=59,none,의원실 노쇼 사기 — 거래 사칭,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=59
S27,문자,국세청입니다. 종합소득세 환급금이 발생했습니다. 환급 계좌 확인을 위해 카드번호 앞 8자리를 입력해 주세요.,종합소득세 환급,,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308,none,국세청 사칭. 코퍼스에 안내문 없음,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308
S28,사진,금융감독원 자산보호팀 공문입니다. 귀하의 예금이 범죄 자금으로 의심되어 지정 계좌로 예치가 필요합니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4,none,금감원 예치 요구 — 제도 아님,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4
S29,문자,서민금융진흥원 햇살론 사전승인 안내입니다. 신용등급 상향 작업비 30만원을 먼저 납부해 주세요.,서민금융 활성화 지원(근로자햇살론 보증사업),https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001126&wlfareInfoReldBztpCd=01,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=309,doc,햇살론 사전승인 사칭 → 실재 제도,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=309
S30,링크,노인일자리 참여자 추가 모집 마감 임박. 아래 사이트에서 신분증 사진을 업로드해 신청하세요.,노인일자리 및 사회활동 지원사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001155&wlfareInfoReldBztpCd=01,https://www.kisa.or.kr/402/form?postSeq=1908&page=70,doc,노인일자리 참여자 모집 사칭 → 실재 제도,https://www.kisa.or.kr/402/form?postSeq=1908&page=70
S31,문자,국민건강보험공단입니다. 자격 변동 확인이 필요하니 원격지원 앱을 설치하고 상담원 안내에 따라 주세요.,건강보험 자격,,https://www.kisa.or.kr/402/form?postSeq=2588&page=4,none,자격 변동 확인 사칭. 코퍼스에 안내문 없음,https://www.kisa.or.kr/402/form?postSeq=2588&page=4
S32,문자,정부 난방비 특별지원금 대상자로 선정되셨습니다. 지금 링크에서 본인인증하고 15만원을 받으세요.,에너지바우처,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000072&wlfareInfoReldBztpCd=01,https://www.kisa.or.kr/402/form?postSeq=2516&page=11,doc,'난방비 특별지원금' → 냉난방비 지원 제도,https://www.kisa.or.kr/402/form?postSeq=2516&page=11
S33,문자,퇴직연금 전문 상담사입니다. 원금 보장에 연 24% 확정 수익을 드립니다. 오늘 상담자에 한해 가입 가능합니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=315,none,퇴직연금 투자 권유 — 창작 상품,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=315
S34,문자,아버지 저 사고가 나서 합의금이 급합니다. 지금 통화는 못 하니 문자로만 연락 주시고 이 계좌로 보내주세요.,(제도 아님),,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=5,none,가족 사고 합의금 — 제도 아님,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=5
S35,사진,보건소 명의 공문 이미지. 예방접종 지원 물품 납품 건으로 선결제를 요청하는 내용.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=51,none,보건소 납품 사칭 — 거래 사칭,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=51
S36,문자,고객님 명의로 해외 결제 88만원이 승인되었습니다. 본인이 아니면 아래 번호로 즉시 신고하세요.,(제도 아님),,https://www.kisa.or.kr/402/form?postSeq=1880&page=73,none,해외 결제 승인 알림 — 제도 아님,https://www.kisa.or.kr/402/form?postSeq=1880&page=73
S37,문자,모바일 신분증 발급이 신청되었습니다. 본인이 아닐 경우 링크를 눌러 취소해 주세요.,모바일 신분증,,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299,none,발급 신청 사칭. 코퍼스에 안내문 없음,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299
S38,문자,복지로 시스템 점검으로 기초연금 지급이 보류되었습니다. 임시 페이지에서 정보를 다시 입력해 주세요.,기초연금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86,doc,복지로 점검을 빌미로 한 기초연금 사칭,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86
S39,문자,장기요양 등급 심사 결과 통보입니다. 결과 확인을 위해 아래 앱을 설치하고 공동인증서를 등록해 주세요.,장기요양급여이용지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001170&wlfareInfoReldBztpCd=01,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=248,doc,장기요양 등급 심사 결과 통보 사칭 → 실재 제도,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=248
S40,문자,지자체 어르신 행사 진행업체입니다. 참가비 입금 후 기념품이 지급되오니 안내 계좌로 송금 바랍니다.,(제도 아님),,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=59,none,지자체 행사 참가비 — 거래 사칭,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=59
