case_id,유형,입력채널,평가용_제시문구,문구_성격,참고_출처,출처_URL,기대판단,위험행동,위험단서,필요한_확인질문,정답근거,검수상태
S01,사칭,문자,정부 생활안정지원금 대상자로 선정되었습니다. 오늘 안에 링크를 눌러 주민번호와 계좌번호를 입력하세요.,합성 평가용,공무원 사칭 수법 경보,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308,의심,개인정보요구,기관사칭|긴급성|개인정보요구|악성링크,보낸 번호가 공식 번호인가|정부 공식 공고가 있는가|왜 주민번호와 계좌번호를 요구하는가,공식 확인 전 개인정보 입력을 요구하는 합성 사칭 문구,1차검수
S02,사칭,음성,시청 복지과입니다. 지원금 환급을 위해 안전계좌로 수수료를 먼저 보내세요.,합성 평가용,기관사칭형 보이스피싱 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4,의심,계좌이체,기관사칭|송금요구,전화를 끊고 시청 대표번호로 다시 확인했는가|지원금 지급에 선입금을 요구하는가,선입금과 안전계좌 송금 요구는 공식 지원 절차로 확인되지 않음,1차검수
S03,사칭,링크,정부24 미수령 환급금 확인 gov24-refund-event.com,합성 평가용,스미싱 영역 경보,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299,의심,없음,유사 도메인|경제적이익|악성링크,도메인이 gov.kr인가|정부24 앱이나 공식 사이트에서 같은 안내를 찾을 수 있는가,정부24 공식 도메인이 아닌 합성 링크,1차검수
S04,사칭,사진,국민연금 추가 지급 대상. 신분증 사진을 카카오톡으로 보내면 즉시 접수됩니다.,합성 평가용,피싱 통합대응 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=255,의심,개인정보요구,기관사칭|개인정보요구,국민연금공단 공식 공고가 있는가|공식 채널이 신분증 사진을 메신저로 요구하는가,공식 확인 없이 신분증 전송을 요구하는 합성 사칭 문구,1차검수
S05,사칭,문자,보건복지부 긴급 난방비 50만원 지급. 30분 안에 신청하지 않으면 소멸됩니다.,합성 평가용,국가 상황 악용 스미싱 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86,의심,없음,기관사칭|긴급성|경제적이익,보건복지부나 복지로에 같은 공고가 있는가|비정상적으로 짧은 기한을 재촉하는가,긴급성과 혜택 소멸을 이용한 합성 사칭 문구,1차검수
S06,사칭,음성,경찰청입니다. 사건에 연루됐으니 통화를 끊지 말고 앱을 설치하세요.,합성 평가용,갈수록 진짜 같은 전화금융사기 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=37,의심,앱설치,기관사칭|공포위협|앱설치,전화를 끊고 112나 공식 대표번호로 확인했는가|수사기관이 앱 설치를 요구하는가,통화 유지와 앱 설치를 요구하는 합성 기관사칭 문구,1차검수
S07,사칭,사진,한국사회보장정보원 특별지원금 당첨. 인증비 3만원 입금 후 지급됩니다.,합성 평가용,피싱 통합대응 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=255,의심,계좌이체,기관사칭|송금요구|경제적이익,공식 지원사업이 존재하는가|지원금 수령 전에 인증비를 요구하는가,선입금을 요구하는 합성 사칭 문구,1차검수
S08,사칭,링크,건강보험료 환급 신청 nhis-refund24.com,합성 평가용,스미싱 악성링크 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=3,의심,없음,유사 도메인|악성링크,도메인이 nhis.or.kr인가|공식 앱에서 환급 내역을 확인했는가,국민건강보험 공식 도메인이 아닌 합성 링크,1차검수
S09,사칭,문자,기초연금 미수령분 지급을 위해 휴대폰 인증번호를 회신하세요.,합성 평가용,개인정보 요구 피싱 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=252,의심,인증번호,기관사칭|인증번호요구,공식 기관이 문자 회신으로 인증번호를 요구하는가|복지로에서 지급 내역을 확인했는가,인증번호 회신을 요구하는 합성 사칭 문구,1차검수
S10,사칭,음성,금융감독원 보호조치입니다. 예금을 모두 지정 계좌로 옮겨야 합니다.,합성 평가용,기관사칭 보이스피싱 경보,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=60,의심,계좌이체,기관사칭|공포위협|송금요구,전화를 끊고 금융감독원 1332로 확인했는가|자금 이체를 요구하는가,수사·감독기관의 자금 이체 요구를 모사한 합성 문구,1차검수
B01,경계,문자,노후준비서비스 무료 상담 안내입니다. 자세한 내용은 복지로에서 확인하세요. 단축 링크가 함께 제공됨.,합성 평가용,복지로 노후준비서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000031&wlfareInfoReldBztpCd=01,확인불가,없음,정상 서비스명|단축링크,단축 링크의 최종 도메인이 공식 사이트인가|공식 페이지에 같은 상담 안내가 있는가,서비스는 실재하지만 발송 주체와 단축 링크는 별도 확인 필요,1차검수
B02,경계,사진,주거상향 지원 신청 기간이 연장되었습니다. 주민센터에 문의하세요. 발행기관과 날짜가 잘림.,합성 평가용,복지로 주거취약계층 주거상향 지원사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000036&wlfareInfoReldBztpCd=01,확인불가,없음,정상 서비스명|발행정보 누락,누가 발행했는가|현재 공고에 연장 내용이 있는가|관할 주민센터 번호가 맞는가,서비스는 실재하지만 잘린 이미지로 최신 공고 여부를 확정할 수 없음,1차검수
B03,경계,음성,복지 담당자라고 하는 사람이 지원 대상일 수 있으니 주민센터에 방문해 확인하라고 안내함.,합성 평가용,복지로 공식 서비스 안내,https://www.bokjiro.go.kr,확인불가,없음,기관 신원 불명|직접 방문 안내,상대방 신원을 공식 대표번호로 확인했는가|금전이나 개인정보를 요구했는가,요구 행동은 상대적으로 안전하지만 발신자 신원과 대상 조건은 미확인,1차검수
B04,경계,링크,블로그에 2024년 기초연금 신청 조건이 정리되어 있고 공식 링크도 포함되어 있음.,합성 평가용,복지로,https://www.bokjiro.go.kr,확인불가,없음,과거 정보|비공식 요약,게시 시점이 언제인가|2026년 공식 조건과 같은가|포함된 공식 링크의 내용이 일치하는가,비공식 요약은 최신성과 정확성을 공식 원문으로 재확인해야 함,1차검수
B05,경계,문자,건강보험공단 검진 안내입니다. 링크 없이 공식 대표번호로 문의하라고 적혀 있음.,합성 평가용,국민건강보험공단,https://www.nhis.or.kr,확인불가,없음,기관명 사용|위험 행동 없음,문자 발신번호가 공식 번호인가|공단 앱이나 대표번호에서 같은 대상 안내를 확인할 수 있는가,위험 요구는 없지만 개인별 검진 대상 여부는 공식 채널 확인 필요,1차검수
B06,경계,사진,복지관 게시판의 에너지 지원금 포스터. 기관 로고는 있으나 신청 마감일이 지나 있음.,합성 평가용,복지로,https://www.bokjiro.go.kr,확인불가,없음,공식처럼 보이는 로고|기간 만료,현재도 신청 가능한가|올해 공고가 새로 나왔는가|로고와 발행기관이 일치하는가,진짜 과거 공고여도 현재 적용 여부는 별도 확인 필요,1차검수
B07,경계,음성,은행 직원이 정부지원 대출상품을 설명하고 지점 방문 상담을 권함.,합성 평가용,금융감독원 금융소비자정보포털,https://fine.fss.or.kr,확인불가,없음,정부지원 표현|대출권유,전화를 끊고 은행 공식 대표번호로 확인했는가|등록된 상품인가|선입금이나 앱 설치를 요구하는가,상품과 발신자 신원을 공식 채널에서 확인하기 전에는 정상 여부 확정 불가,1차검수
B08,경계,링크,유튜브 영상이 공공지원금 신청법을 설명하며 설명란에 복지로 링크를 제공함.,합성 평가용,복지로,https://www.bokjiro.go.kr,확인불가,없음,비공식 영상|공식 링크 포함,영상 게시일은 언제인가|설명과 공식 원문의 대상·기한·금액이 같은가,공식 링크가 있어도 영상 설명의 최신성과 정확성은 별도 검증 필요,1차검수
B09,경계,문자,동주민센터 행사 안내. 참가비는 없지만 이름과 전화번호를 문자로 회신하라고 함.,합성 평가용,행정안전부,https://www.gov.kr,확인불가,개인정보요구,개인정보요구|지역 행사,주민센터 공식 번호인가|홈페이지나 대표번호에서 행사를 확인했는가|수집 목적과 보관기간이 안내됐는가,실재 행사 가능성과 개인정보 수집 적정성을 각각 확인해야 함,1차검수
B10,경계,사진,정부24 화면을 촬영한 사진에 환급금 대상이라고 표시되어 있으나 주소창이 보이지 않음.,합성 평가용,정부24,https://www.gov.kr,확인불가,없음,화면 모방 가능|주소 미확인,본인이 직접 정부24 앱이나 gov.kr에서 조회했는가|주소창과 로그인 경로가 공식인가,화면 사진만으로 공식 사이트 여부와 개인 대상 여부를 확정할 수 없음,1차검수
N11,정상,문자,기초연금은 만 65세 이상이면서 소득인정액이 선정기준액 이하인 분께 매달 지급됩니다. 신청은 주소지 주민센터나 국민연금공단 지사에서 하실 수 있습니다.,공식문서 요약,기초연금,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001164&wlfareInfoReldBztpCd=01,정상,없음,선정기준액 조건 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N12,정상,링크,"노인일자리 및 사회활동 지원사업 안내입니다. 참여 자격과 활동 유형, 신청 기간을 확인하실 수 있습니다.",공식문서 요약,노인일자리 및 사회활동 지원사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001155&wlfareInfoReldBztpCd=01,정상,없음,공식 도메인,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N14,정상,문자,장기요양 본인부담금 감경 제도 안내입니다. 소득·재산 기준을 충족하면 본인부담금 일부를 덜어 드립니다.,공식문서 요약,장기요양 본인부담금 감경,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001177&wlfareInfoReldBztpCd=01,정상,없음,소득 기준 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N15,정상,링크,만 60세 이상 무릎 관절염 환자의 인공관절 수술비를 지원하는 사업 안내입니다. 검사비와 수술비 지원 범위를 확인하세요.,공식문서 요약,노인 무릎인공관절 수술 지원 사업,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001179&wlfareInfoReldBztpCd=01,정상,없음,공식 도메인,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N17,정상,사진,댁에 응급안전안심 장비를 설치해 화재·응급상황을 자동으로 알려 드리는 서비스입니다. 신청은 주민센터에서 받습니다.,공식문서 요약,독거노인·장애인 응급안전안심서비스,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001093&wlfareInfoReldBztpCd=01,정상,없음,공식 안내,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N18,정상,문자,에너지바우처는 생계·의료급여 수급 가구 중 노인·영유아 등이 계신 세대에 냉난방 비용을 지원합니다. 신청 기간을 확인해 주세요.,공식문서 요약,에너지바우처,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000072&wlfareInfoReldBztpCd=01,정상,없음,대상 조건 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N19,정상,링크,갑작스러운 위기 상황으로 거처를 잃으신 분께 임시 거소를 지원하는 제도 안내입니다.,공식문서 요약,긴급복지 주거지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000917&wlfareInfoReldBztpCd=01,정상,없음,공식 도메인,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N21,정상,사진,의료급여 수급권자의 틀니와 치과임플란트 본인부담 안내입니다. 연령과 적용 개수 기준이 있습니다.,공식문서 요약,의료급여 틀니·치과임플란트,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001169&wlfareInfoReldBztpCd=01,정상,없음,연령·개수 조건 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N22,정상,문자,암환자 의료비 지원 사업 안내입니다. 대상자 기준과 지원 한도를 확인하신 뒤 보건소에 신청하세요.,공식문서 요약,암환자의료비지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001184&wlfareInfoReldBztpCd=01,정상,없음,한도 조건 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N24,정상,문자,주택담보노후연금보증(주택연금) 안내입니다. 가입 연령과 주택 가격 기준을 확인해 주세요.,공식문서 요약,주택담보노후연금보증,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001108&wlfareInfoReldBztpCd=01,정상,없음,가입 조건 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N29,정상,사진,생계급여 안내입니다. 가구원 수별 선정기준과 급여액 산정 방식이 표로 정리되어 있습니다.,공식문서 요약,생계급여(맞춤형 급여),https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001132&wlfareInfoReldBztpCd=01,정상,없음,선정기준 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,보건복지부·한국사회보장정보원 공식 안내와 일치,1차검수
N33,정상,사진,국가암검진 안내입니다. 암종별 검진 주기와 대상 연령이 표로 정리되어 있습니다.,공식문서 요약,암검진,https://www.cancer.go.kr/lay1/S1T261C262/contents.do,정상,없음,주기·연령 명시,발행기관이 어디인가|신청 조건이 원문에 있는가,국립암센터 공식 안내와 일치,1차검수
N34,정상,링크,암예방 생활수칙 안내 페이지입니다. 근거 자료와 함께 예방 수칙이 정리되어 있습니다.,공식문서 요약,암예방,https://www.cancer.go.kr/lay1/S1T200C201/contents.do,정상,없음,공식 도메인,발행기관이 어디인가|신청 조건이 원문에 있는가,국립암센터 공식 안내와 일치,1차검수
N35,정상,문자,암의 위험요인에 대한 공식 안내입니다. 흡연·음주·감염 등 요인별 설명이 제공됩니다.,공식문서 요약,암의 위험요인,https://www.cancer.go.kr/lay1/S1T265C266/contents.do,정상,없음,공식 안내,발행기관이 어디인가|신청 조건이 원문에 있는가,국립암센터 공식 안내와 일치,1차검수
N36,정상,사진,말기암환자 완화의료 안내입니다. 이용 가능한 기관과 절차가 안내되어 있습니다.,공식문서 요약,말기암환자,https://www.cancer.go.kr/lay1/S1T308C309/contents.do,정상,없음,공식 안내,발행기관이 어디인가|신청 조건이 원문에 있는가,국립암센터 공식 안내와 일치,1차검수
N37,정상,문자,노인우울증에 대한 안내입니다. 증상과 상담 가능한 기관 정보가 함께 제공됩니다.,공식문서 요약,노인우울증,https://www.mentalhealth.go.kr/portal/disease/diseaseDetail.do?dissId=54,정상,없음,공식 안내,발행기관이 어디인가|신청 조건이 원문에 있는가,국립정신건강센터 공식 안내와 일치,1차검수
N38,정상,링크,알츠하이머 치매 안내 페이지입니다. 증상 단계와 진단 절차를 확인하실 수 있습니다.,공식문서 요약,알츠하이머 치매,http://www.mentalhealth.go.kr/portal/disease/diseaseDetail.do?dissId=22,정상,없음,공식 도메인,발행기관이 어디인가|신청 조건이 원문에 있는가,국립정신건강센터 공식 안내와 일치,1차검수
N39,정상,문자,경도 인지장애 안내입니다. 조기 상담이 필요한 경우와 검사 방법을 안내합니다.,공식문서 요약,경도 인지장애,https://www.mentalhealth.go.kr/portal/disease/diseaseDetail.do?dissId=23,정상,없음,공식 안내,발행기관이 어디인가|신청 조건이 원문에 있는가,국립정신건강센터 공식 안내와 일치,1차검수
N40,정상,사진,불면장애 안내문입니다. 자가 점검 항목과 전문기관 상담 안내가 포함되어 있습니다.,공식문서 요약,불면장애,http://www.mentalhealth.go.kr/portal/disease/diseaseDetail.do?dissId=31,정상,없음,공식 안내,발행기관이 어디인가|신청 조건이 원문에 있는가,국립정신건강센터 공식 안내와 일치,1차검수
S11,사칭,문자,보건복지부 기초연금 담당자입니다. 미지급 연금 87만원이 확인되어 오늘 안에 본인 확인이 필요합니다. 아래 번호로 즉시 회신 바랍니다.,공개 경보 수법 재구성,[끈질긴 피싱을 끊어낼 끊내주는 선택] 공무원 사칭 수법,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=308,의심,없음,기관 사칭|미지급금 미끼|당일 마감 압박,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S12,사칭,문자,서울중앙지검 수사관입니다. 귀하 명의 계좌가 범죄에 이용되어 자산 보호를 위해 안전계좌로 이체가 필요합니다.,공개 경보 수법 재구성,"24. 10. 24. 기관사칭형 보이스피싱, 60대 여성을 노린다",https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=4,의심,계좌이체,수사기관 사칭|안전계좌 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S13,사칭,문자,정부 지원 저금리 대환대출 승인되셨습니다. 기존 대출을 먼저 상환하셔야 진행되오니 안내드린 계좌로 입금해 주세요.,공개 경보 수법 재구성,[2026 끊기능력평가 : 대출빙자 사기 영역],https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=309,의심,계좌이체,정부지원 사칭|선입금 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S14,사칭,링크,긴급재난지원금 신청이 오늘 마감됩니다. 아래 주소에서 주민등록번호와 계좌를 입력해 신청하세요.,공개 경보 수법 재구성,"KISA, 긴급재난지원금 사칭한 가짜 사이트 주의하세요!",https://www.kisa.or.kr/402/form?postSeq=1908&page=70,의심,개인정보요구,가짜 신청 사이트|주민번호 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S15,사칭,문자,민생회복 소비쿠폰 25만원이 도착했습니다. 링크를 눌러 본인인증 후 수령하세요.,공개 경보 수법 재구성,"KISA, 민생회복 소비쿠폰 사칭 범죄 집중 대응",https://www.kisa.or.kr/402/form?postSeq=2516&page=11,의심,인증번호,쿠폰 사칭|본인인증 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S16,사칭,문자,주민센터입니다. 귀하 명의로 등본 발급이 시도되었습니다. 명의도용이 의심되니 안내하는 앱을 설치해 확인해 주세요.,공개 경보 수법 재구성,"“등본 발급 시도됐다” 주민센터 전화, 피싱일 수 있습니다",https://www.kisa.or.kr/402/form?postSeq=2588&page=4,의심,앱설치,주민센터 사칭|앱 설치 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S17,사칭,사진,정부24 시스템 장애로 민원 처리가 중단되었습니다. 아래 링크에서 재신청해 주세요.,공개 경보 수법 재구성,URL 링크가 포함된 정부시스템 장애 관련 문자와 알림은 100% 스미싱입니다,https://www.kisa.or.kr/402/form?postSeq=2540&page=8,의심,없음,정부시스템 사칭|링크 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S18,사칭,문자,개인정보 유출 피해보상금 지급 대상자입니다. 아래 주소에서 계좌를 등록하시면 즉시 지급됩니다.,공개 경보 수법 재구성,쿠팡 개인정보 유출 사고 이슈를 악용한 “피해보상” 사칭 전자금융사기(피싱) 주의,https://www.kisa.or.kr/402/form?postSeq=2563&page=6,의심,개인정보요구,피해보상 미끼|계좌 등록 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S19,사칭,문자,엄마 나야. 폰이 고장나서 다른 번호로 연락해. 급하게 돈이 필요한데 이 계좌로 보내줘.,공개 경보 수법 재구성,24. 11. 8. 딥페이크를 악용한 자녀납치형 전화금융사기 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=5,의심,계좌이체,가족 사칭|번호 변경|송금 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S20,사칭,문자,국민연금 수익률의 5배를 보장하는 정부 인증 상품입니다. 원금 손실 없이 매월 배당이 지급됩니다.,공개 경보 수법 재구성,[끈 떨어지는 상담소] 고수익을 약속하는 투자의 함정,https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=315,의심,확인 필요,원금보장 표현|정부 인증 사칭,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S21,사칭,문자,○○군청 총무과입니다. 관공서 행사 단체주문 건으로 연락드립니다. 선결제 후 대금은 익일 지급됩니다.,공개 경보 수법 재구성,"경찰, 기관 사칭 노쇼 사기 특별경보 발령",https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=51,의심,계좌이체,관공서 사칭|선결제 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S22,사칭,문자,한국인터넷진흥원 보안공지입니다. 귀하의 기기가 악성코드에 감염되었습니다. 첨부한 파일을 설치해 치료하세요.,공개 경보 수법 재구성,KISA 보안공지를 사칭한 스미싱 문자 주의,https://www.kisa.or.kr/402/form?postSeq=1880&page=73,의심,앱설치,보안기관 사칭|파일 설치 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S23,사칭,문자,택배 주소가 불명확하여 배송이 보류되었습니다. 아래 링크에서 주소를 다시 입력해 주세요.,공개 경보 수법 재구성,[2026 끊기능력평가 : 스미싱 영역],https://www.counterscam112.go.kr/bbs003/board/boardDetail.do?pstSn=299,의심,개인정보요구,택배 사칭|링크 유도,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
S24,사칭,문자,전산센터 장애로 연금 지급이 지연되고 있습니다. 계좌 재등록이 필요하니 링크를 눌러 진행하세요.,공개 경보 수법 재구성,25. 10. 2. 국가정보자원관리원 화재 상황을 악용한 보이스피싱·스미싱 주의,https://www.counterscam112.go.kr/bbs002/board/boardDetail.do?pstSn=86,의심,개인정보요구,재난 상황 악용|계좌 재등록 요구,발신 기관 대표번호로 직접 확인했는가|공식 창구에 같은 안내가 있는가,공개 경보 문서에 기록된 수법과 일치,1차검수
