"사례ID","분야","채널","사례내용","신뢰단서","요구행동","놓친확인요소","위험결과","오판유형","출처","발행일","사례URL","정답근거","정답근거URL"
"C11","금융","계좌이체|문자·전화","사기범이 피해자 계좌로 소액을 보내 지급정지를 유발한 뒤 해제를 미끼로 합의금을 요구하는 통장협박 사례다.","계좌 지급정지|합의금 요구|금융거래 제한 고지","합의금 송금|사기범과 합의","지급정지 해제 권한 주체|금융회사 이의제기 절차|사기범의 권한 여부","영업·전자금융거래 제한|추가 금전 손실","숫자·조건 혼동형","공식/금융위원회·통장협박 등 신·변종 보이스피싱 피해구제 절차","2024-02-01","https://www.fsc.go.kr/po010107/81640","지급정지 해제 권한이 사기범에게 없으므로 합의금을 송금하지 말고 금융회사에 이의제기해야 한다.","https://www.fsc.go.kr/no040101?cnId=2423&curPage=93&pastPage=93&srchKey=&srchText="
"C12","금융","유명인·기관 사칭|리딩방|가상자산 투자","유명 유튜버·경제인·투자회사 직원을 사칭하고 금융위원회·금융감독원 명의의 가짜 공문서를 보여주며 과거 리딩방 손실보상을 미끼로 가상자산 투자를 권유한 사례다.","유명인·투자회사 직원|금융위·금감원 명의 공문|손실보상 약속","가상자산 투자|신분증 등 개인정보 제출","공문서 진위|금융투자업 등록 여부|손실보상 대가의 투자 요구 여부","투자금 손실|명의도용 인터넷대출 위험","권위자사칭 수용형","공식/경찰청·투자리딩방 사기유형","2024-05-13","https://www.police.go.kr/user/bbs/BD_selectBbs.do?q_bbsCode=1007&q_bbscttSn=20240513142124598","제도권 금융회사 여부는 금융감독원 금융소비자정보포털 파인에서 확인해야 한다.","https://fine.fss.or.kr/fine/main.jsp"
"C13","금융","문자|로그인 사칭페이지","텔레그램·애플·라인·가상자산거래소·소셜커머스 플랫폼 계정 탈취를 위해 로그인 URL을 보내고 아이디·비밀번호·2차 인증정보 입력을 요구한 스미싱 사례다.","플랫폼명|로그인 재인증 안내|결제·계정 보안 알림","로그인 정보 입력|2차 인증번호 입력","공식 앱·도메인|비밀번호 재설정 절차|2차 인증번호 요구 여부","계정 탈취|저장 결제정보 악용|2차 스미싱","권위자사칭 수용형|제목의존형","공식/한국인터넷진흥원(KISA)·SNS·소셜커머스 등 계정정보 탈취 스미싱 주의 권고","2024-09-19","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=71555&pageIndex=1","피싱 의심 URL을 통한 계정·개인정보 입력을 중단하고 공식 사이트에서 확인해야 한다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000030&menuNo=205027&nttId=70081"
"C14","금융","전화","카드 배송원·카드사 고객센터·금융감독원·검사를 순차 사칭해 악성앱을 설치시키고, 명의도용·형사사건·자산보호를 이유로 자산 검수와 이체를 요구하는 기관사칭형 보이스피싱 피해사례 재구성.","카드배송원|카드사 고객센터|금융감독원 대표번호 표시|검사·구속 위협|가짜 영장·공문","원격제어 앱 설치|가짜 사건조회 사이트에 정보 입력|자산 검수 협조|예금 해지·대출 실행·이체","통화 상대의 실제 기관 소속|앱 설치·사건조회 링크의 정당성|수사기관의 자산검수·보안계좌 존재 여부|공식 기관에 별도 확인","악성앱 감염|개인정보 탈취|통화·위치정보 탈취|대출·예금 해지|자금 이체·금전 피해","권위자사칭 수용형","공식/전기통신금융사기 통합대응단(금융위원회·경찰청 공동 보도자료)","2024-10-24","https://www.counterscam112.go.kr/pdf/bbs002/2/FILE_000000000000079/viewer.do","공동 보도자료는 수사기관이 자산검수·행정재산·자산보호 명목의 재산 이전, 국가안전계좌·보안계좌, 대출 실행·예금 해지·이체를 요구하지 않는다고 명시하고 피해사례를 재구성했다.","https://www.counterscam112.go.kr/pdf/bbs002/2/FILE_000000000000079/viewer.do"
"C15","금융","문자|전화","명의도용 사건·저금리대출·카드배송·사건조회 등을 미끼로 금융회사 또는 공공기관의 정식 앱처럼 꾸민 악성앱을 설치시킨 뒤 개인정보·통화·위치정보를 탈취하고 통화 연결을 조작하는 사례.","명의도용 사건|금융회사·공공기관 앱 외관|실제 기관 대표번호 표시|저금리대출·카드배송 미끼","새 휴대전화 구매|원격제어 앱 설치|악성앱 설치|지정 경로에 개인정보 입력","앱의 실제 발행자·권한|사건조회·대출신청의 공식 경로|표시된 대표번호가 실제 연결되는지 여부","개인정보 탈취|통화 녹음·원격제어·위치정보 탈취|대표번호 조작|금전 피해","권위자사칭 수용형","공식/전기통신금융사기 통합대응단(금융위원회·경찰청 공동 보도자료)","2025-04-28","https://www.counterscam112.go.kr/pdf/bbs002/1/FILE_000000000000090/viewer.do","공동 보도자료는 경찰이 제어서버에서 개인정보·통화녹음·원격제어·위치정보 탈취와 실제 기관 번호 약 80개의 연결·표시 조작을 확인했으며 수사기관은 자산 이전·이체를 요구하지 않는다고 밝혔다.","https://www.counterscam112.go.kr/pdf/bbs002/1/FILE_000000000000090/viewer.do"
"C16","금융","문자|전화","SKT 해킹 피해 구제를 내세워 정부기관·SKT 또는 가짜 고객센터로 전화하게 하고 정상 스토어의 원격제어 앱 설치를 유도해 금융정보를 탈취하려는 피싱 사례.","SKT 해킹 이슈|정부기관·SKT 사칭|피해구제·보안점검 명분|정상 스토어 앱","가짜 고객센터로 전화|원격제어 앱 설치|개인정보·인증정보 제공","피해구제 연락의 공식 출처|기관이 원격제어 앱을 요구하는지 여부|공식 고객센터 번호","개인정보 유출|추가 악성앱 설치|금융정보 탈취|금전 피해","권위자사칭 수용형","공식/한국인터넷진흥원(KISA) 보호나라","2025-05-08","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=71739","KISA는 이슈를 악용한 피싱 사례가 발견됐고 정부기관·SKT는 원격제어 앱 설치를 요구하지 않으며 설치된 앱을 통해 금융정보 등 민감정보 탈취가 가능하다고 밝혔다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=71739"
"C17","금융","전화|문자|위조 공문서","군부대 중사·교도소 직원 등 기관 관계자를 사칭해 자영업자에게 대량 주문을 넣고 특정 유통업체 물품을 대신 구매하라며 위조 사업자등록증·명함을 보내 선입금을 요구한 노쇼 사기 사례다.","군부대·교도소 직위|대량 주문|위조 사업자등록증·명함|공문서","대리구매|배송비·물품 선입금","해당 기관 대표번호|주문자 재직·발주 사실|유통업체 실재 여부","선입금 금전 손실|재고·영업 피해","권위자사칭 수용형|숫자·조건 혼동형","공식/경찰청·동영상형 자영업자 울리는 노쇼 사기 수법 공개","2025-07-09","https://www.police.go.kr/user/bbs/BD_selectBbs.do?q_bbsCode=1007&q_bbscttSn=20250709163704668","기관 사칭 대량주문은 해당 기관에 직접 신분·발주를 확인하고 선입금·대리구매 요구를 거절해야 한다.","https://www.police.go.kr/user/bbs/BD_selectBbs.do?q_bbsCode=1007&q_bbscttSn=20250512161126844"
"C18","금융","문자|전화","이커머스 개인정보 유출 이슈를 악용해 피해보상·명의도용·카드배송을 내세우고, 검찰·경찰 사칭 또는 가짜 고객센터를 통해 피싱사이트·텔레그램 접속과 원격제어앱 설치를 유도하는 사례.","피해보상 안내|수신자 개인정보 포함 문자|검찰·경찰 사칭|쿠팡·우체국·카드배송 명칭","피싱사이트·텔레그램 접속|가짜 고객센터로 전화|개인정보 입력|원격제어앱 설치","피해보상 안내의 공식 공지 여부|문자 속 개인정보가 진위를 보장하는지|수사기관·고객센터의 공식 연락처|앱·링크의 실제 발행자","개인정보 탈취|악성앱 설치|금융거래 정보 유출|금전 피해","권위자사칭 수용형","공식/한국인터넷진흥원(KISA) 보호나라","2025-12-19","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205021&nttId=71925","KISA는 이커머스 개인정보 유출 이슈를 악용한 구체 사례를 확인했으며 수신자 개인정보가 포함된 스미싱, 수사기관 사칭, 카드배송 사칭, 피싱사이트·원격제어앱 유도를 제시했다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205021&nttId=71925"
"C19","금융","전화|메신저","주민센터 공무원을 사칭해 등·초본 대리발급과 명의도용을 알리고, 한국신용정보원 대표번호처럼 보이는 번호로 회신하게 하거나 링크·상담·악성앱 설치와 본인인증·개인정보 제공을 요구하는 사례.","주민센터 공무원|등·초본·명의도용 사건|한국신용정보원 대표번호|본인확인 명분","표시된 번호로 회신|링크 접속|상담|악성앱 설치|본인인증·개인정보 제공","주민센터·한국신용정보원의 실제 연락 방식|표시된 대표번호가 실제 기관과 연결되는지 여부|링크·앱 설치 필요성","개인정보 도용|악성앱 설치|금전 피해","권위자사칭 수용형","공식/한국인터넷진흥원(KISA) 보호나라","2026-04-28","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205021&nttId=72036&pageIndex=1","KISA는 주민센터 사칭 사례 발생과 한국신용정보원 대표번호 사칭 회신 유도, 링크·악성앱 설치 요구를 확인했으며 신용정보원은 전화·카카오톡으로 본인인증·개인정보를 요구하지 않는다고 밝혔다.","https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205021&nttId=72036&pageIndex=1"
"C20","건강","온라인쇼핑몰","일반식품을 '당뇨 영양제'·'당뇨 개선제'·'당뇨약' 등으로 광고하며 판매한 사례","질병명|의약품명칭|영양제표현","구매","식품유형|공식인정기능성내용|질병예방치료근거","불필요한구매|적절한당뇨관리판단지연가능성","제목의존형","공식/식품의약품안전처","2024-05-29","https://www.mfds.go.kr/brd/m_99/view.do?seq=48303","식약처는 200건 점검 중 177건을 적발했으며, '당뇨 영양제·당뇨 개선제·당뇨약'을 질병 예방·치료 또는 의약품으로 오인하게 하는 광고 사례로 제시했다. 바나바잎 추출물 등의 인정 기능성은 '식후 혈당상승 억제에 도움을 줄 수 있음'이다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=48303"
"C21","건강","온라인쇼핑몰","유기농방목마켓(주)가 식육추출가공품(진액)을 온라인에서 '뇌의 노화나 치매 예방, 당뇨 발생 위험 감소'로 광고한 사례","질병명|예방표현|위험감소표현","구매","식품유형|질병예방치료근거|공식인정기능성","불필요한구매|질병예방치료판단왜곡","과잉일반화형","공식/식품의약품안전처","2024-07-29","https://www.mfds.go.kr/brd/m_99/view.do?seq=48444","식약처는 염소진액·염소탕 제조·판매업체 9곳을 적발했고, 유기농방목마켓(주)의 해당 온라인 표현을 질병 예방·치료 효능으로 인식할 우려가 있는 광고로 제시했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=48444"
"C22","건강","온라인쇼핑몰","일반식품을 '수면유도제'·'잠 잘오는 약'·'수면영양제' 등으로 광고해 판매한 사례","의약품명칭|수면영양제표현|수면건강표현","구매","식품유형|건강기능식품인증마크|공식인정기능성|의약품여부","불필요한구매|수면문제상담지연가능성","제목의존형","공식/식품의약품안전처","2024-08-06","https://www.mfds.go.kr/brd/m_99/view.do?seq=48458","식약처는 200건 점검에서 56건을 적발했고, 일반식품의 '수면건강·수면영양제·수면유도제·잠 잘오는 약' 광고를 건강기능식품 또는 의약품 오인·혼동 사례로 제시했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=48458"
"C23","건강","온라인 화장품 판매게시물","온라인 판매게시물에서 마이크로니들을 앞세운 화장품에 ‘피부재생’ ‘피부해독’ ‘면역력 강화’ ‘항염’ 등을 광고해 82건이 적발된 사례.","마이크로니들 기술명|의학적 효능 문구","구매|피부 사용","화장품 기능성 인정 범위|의약품·화장품 구분","불필요한 제품 구매|치료 지연 가능성","과잉일반화형","공식/식품의약품안전처 보도자료","2024-08-08","https://www.mfds.go.kr/brd/m_99/view.do?seq=48462","식약처는 해당 문구를 의약품 오인·화장품 범위 초과·소비자 오인 우려 광고로 분류하고 82건을 적발했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=48462"
"C24","건강","온라인 오픈마켓","수능 전 온라인 오픈마켓에서 ‘공부 잘하는 약’ ‘집중력 향상 영양제’ 등을 광고한 사례. 식품 등 부당광고 83건과 ADHD 치료제 불법유통·판매 게시물 711건이 적발됐다.","시험 불안 겨냥|공부 잘하는 약|집중력 단정","구매|복용","건강기능식품 인증·기능성 내용|전문의약품 처방 여부","건강 위해|불법 의약품 구매|경제적 손실","제목의존형|과잉일반화형","공식/식품의약품안전처 보도자료","2024-11-04","https://www.mfds.go.kr/brd/m_99/view.do?seq=48651","식약처는 ‘기억력 개선 영양제’ ‘집중력 향상’ 등의 거짓·과장 및 의약품 오인 광고를 적발하고 사이트 차단과 행정처분을 의뢰했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=48651"
"C25","건강","온라인 식품 판매게시물","식품 또는 건강기능식품을 ‘탈모 예방’ ‘탈모에 좋은’ ‘탈모 개선’ 또는 ‘먹는 탈모약’으로 광고·판매한 온라인 게시물 192건이 적발된 사례.","탈모 예방|먹는 탈모약|질환 개선 단정","구매|섭취","건강기능식품 인증·기능성 내용|탈모 예방·치료 인정 여부","건강 위해|경제적 손실|치료 지연 가능성","제목의존형|과잉일반화형","공식/식품의약품안전처 보도자료","2025-04-14","https://www.mfds.go.kr/brd/m_99/view.do?seq=48973","식약처는 탈모 예방·치료 또는 증상 개선 효능이 인정된 식품·건강기능식품은 없다고 밝히고 관련 온라인 광고 192건을 적발했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=48973"
"C26","건강","온라인 화장품 광고","‘여드름 완화’ ‘지방 연소 촉진’을 화장품 광고의 핵심 문구로 사용한 사례. 최근 1년 화장품 행정처분 중 표시·광고 위반은 324건으로 분석됐다.","질환·체형 변화 단정 문구|짧은 제목형 문구","구매|피부 사용","화장품 기능성 인증|질환 치료·체지방 관련 근거","불필요한 구매|치료 지연 가능성","제목의존형|과잉일반화형","공식/식품의약품안전처 보도자료","2025-08-27","https://www.mfds.go.kr/brd/m_99/view.do?seq=49285","식약처는 화장품이 의약품이 아니므로 의학적 수준의 과도한 개선 효과 광고를 의심해야 한다고 안내했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=49285"
"C27","건강","온라인 쇼핑몰","난백 알부민 식품을 ‘피로회복’ ‘간 기능 유지에 도움’ ‘알부민 영양제’ 등으로 광고하고 혈청 알부민의 생리 기능을 해당 식품의 효능처럼 제시한 업체 9개소가 적발된 사례.","알부민 영양제|간 기능 유지|의약품과 유사한 설명","구매|섭취","난백 알부민·혈청 알부민 구분|건강기능식품 인정 내용","건강 위해|경제적 손실|치료 지연 가능성","과잉일반화형","공식/식품의약품안전처 보도자료","2026-04-13","https://www.mfds.go.kr/brd/m_99/view.do?seq=49860","식약처는 난백 알부민 식품을 혈청 알부민과 동일시하거나 원재료 효능을 식품 효능으로 오인하게 하는 광고를 부당광고로 적발했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=49860"
"C28","건강","온라인쇼핑몰","일반식품을 '감기 예방'·'면역력 강화' 등으로 광고한 온라인 판매 게시물 사례","감기예방|면역력강화|혈당관리","구매","식품유형|공식인정기능성|질병예방치료근거","불필요한구매|건강관리판단왜곡","과잉일반화형","공식/식품의약품안전처","2026-06-05","https://www.mfds.go.kr/brd/m_99/view.do?seq=50051","식약처는 일반식품의 온라인 판매 게시물 165건을 적발했고, '감기예방' 등 질병 예방·치료 효능 오인·혼동 광고 123건과 '면역력 피로 개선·혈당관리' 등 건강기능식품 오인·혼동 광고 38건을 제시했다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=50051"
"C29","건강","유튜브|SNS|온라인쇼핑몰","AI로 생성한 가짜 '성형외과 원장'을 내세워 비타민C·효모식품 등 기타가공품을 '신체나이 감소'·'역노화' 효과가 있는 것처럼 광고·판매한 사례","의사직함|성형외과원장|전문가추천영상","영상시청|구매","추천자실재여부|전문의추천사실|식품유형|공식인정기능성","불필요한구매|건강의사결정왜곡","권위자사칭 수용형","공식/식품의약품안전처","2026-06-10","https://www.mfds.go.kr/brd/m_99/view.do?seq=50067","식약처는 해당 업체가 AI 가짜 의사 광고로 일반식품을 신체나이 감소·노화방지에 효과가 있는 것처럼 광고·판매한 혐의로 검찰 송치됐다고 밝혔다.","https://www.mfds.go.kr/brd/m_99/view.do?seq=50067"
"C30","건강","온라인쇼핑몰","일반식품의 THC 등 성분 표시·광고 점검에서 '치매예방'을 질병 예방·치료 효능으로 표방한 온라인 광고 사례","마약류성분명칭|치매예방|질병예방표현","구매","식품유형|질병예방치료근거|의약품여부","불필요한구매|질병예방치료판단왜곡","과잉일반화형","공식/식품의약품안전처","2026-07-07","https://nodrugzone.mfds.go.kr/fileView.do?uniqueKey=cb00d1a0008a85e71a41b8741facbffe5e04b9f5c11acbc47c860fc7f02e7f4f","식약처는 일반식품의 THC 등 명칭·함량 표시·광고 60건을 적발했으며, '항암·치매예방·비염'을 질병 예방·치료 효능으로 오인·혼동시킬 우려가 있는 광고 3건으로 분류했다.","https://nodrugzone.mfds.go.kr/fileView.do?uniqueKey=cb00d1a0008a85e71a41b8741facbffe5e04b9f5c11acbc47c860fc7f02e7f4f"
